"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"hurricane milton","100K+","October 5, 2024 at 6:40:00 AM UTC-4",,"hurricane milton,hurricane milton tracker,milton,tropical depression 14,tropical storm milton 2024,milton hurricane path,milton florida,new hurricane florida,tropical storm milton tracker,milton tropical storm,tropical storm milton path,hurricane milton update,milton storm,milton storm path,hurricane coming to florida,storm milton track,tropical depression,hurricane leslie tracker,tropical storm milton spaghetti models,invest 92l,tropical depression 14 spaghetti models,new hurricane,tropical storm 14,houston weather,invest 92l spaghetti models,tropical depression florida,tropics update,invest 92,tropical depression 14 tracker","https://trends.google.com/trends/explore?q=hurricane%20milton&geo=US&hl=en"
"tigers vs guardians","200K+","October 5, 2024 at 5:50:00 AM UTC-4",,"tigers vs guardians,guardians,detroit tigers,cleveland guardians,tigers,guardians game today,detroit tigers vs cleveland guardians match player stats,guardians game,guardians score,tigers game,lane thomas,tigers game today,tigers score,cleveland indians,guardians vs tigers,detroit tigers game today,cleveland,tigers baseball,phillies schedule,cleveland guardians games,guardians schedule,detroit tigers score,mlb today,detroit tigers vs cleveland guardians,yankee game today,detroit tigers games,where to watch detroit tigers vs cleveland guardians,tiger,tigers schedule,what channel is the tigers game on today,tigers guardians,detroit tigers schedule,what channel is the guardians game on,matt vierling,guardians baseball,where to watch cleveland guardians vs detroit tigers,free,tigers vs guardians predictions","https://trends.google.com/trends/explore?q=tigers%20vs%20guardians&geo=US&hl=en"
"real madrid - villarreal","100K+","October 5, 2024 at 2:00:00 PM UTC-4",,"real madrid - villarreal,real madrid vs villarreal,real madrid vs. villarreal,real madrid vs villarreal cf lineups,real madrid – villarreal,real madrid vs villarreal cf,real madrid vs villarreal cf stats,real madrid cf,where to watch real madrid vs villarreal cf","https://trends.google.com/trends/explore?q=real%20madrid%20-%20villarreal&geo=US&hl=en"
"auburn vs georgia","50K+","October 5, 2024 at 7:50:00 AM UTC-4",,"auburn vs georgia,georgia vs auburn,uga vs auburn,auburn georgia game,georgia auburn game,ga vs auburn,where to watch auburn tigers football vs georgia bulldogs football,ga football,uga game,georgia auburn,ga game,uga auburn,auburn georgia,ga auburn game,uga auburn game,auburn vs georgia prediction,georgia vs auburn prediction,georgia vs auburn 2024","https://trends.google.com/trends/explore?q=auburn%20vs%20georgia&geo=US&hl=en"
"missouri vs texas a&m","200K+","October 5, 2024 at 12:40:00 AM UTC-4",,"missouri vs texas a&m,missouri football,texas a&m,missouri tigers football vs texas a&m aggies football match player stats,mizzou,texas a&m football,mizzou football,mizzou vs texas a&m,le'veon moss,texas am,conner weigman,texas am football,a&m football,aggie football,texas a&m football schedule,texas a and m football,tamu football,mizzou score,mizzou game,a&m,brady cook,texas a&m vs missouri,luther burden,a&m game,texas a and m,aggies,mike elko,missouri vs texas a&m predictions,missouri tigers football,missouri texas a&m prediction,missouri vs texas a,texas a&m aggies football,college station,texas a&m vs missouri prediction,texas am vs missouri,aggies football,texas a&m aggies football vs missouri tigers football match player stats,a&m vs missouri,where to watch missouri tigers football vs texas a&m aggies football,missouri tigers football vs texas a&m aggies football stats,kyle field,missouri vs texas a&m prediction","https://trends.google.com/trends/explore?q=missouri%20vs%20texas%20a%26m&geo=US&hl=en"
"iowa vs ohio state","50K+","October 5, 2024 at 7:20:00 AM UTC-4",,"iowa vs ohio state,cade mcnamara,ohio state vs iowa,iowa hawkeyes football vs ohio state buckeyes football match player stats,where to watch iowa hawkeyes football vs ohio state buckeyes football,osu vs iowa,ohio state buckeyes football,buckeyes,kaleb johnson,iowa ohio state,where to watch ohio state buckeyes football vs iowa hawkeyes football,buckeyes football,ohio state iowa,ohio state buckeyes,ohio state football game,ohio state vs iowa prediction,iowa vs ohio state predictions,ryan day","https://trends.google.com/trends/explore?q=iowa%20vs%20ohio%20state&geo=US&hl=en"
"alabama vs vanderbilt","50K+","October 5, 2024 at 2:10:00 AM UTC-4",,"alabama vs vanderbilt,what time does alabama play today,alabama game today,what channel is alabama playing on today,vanderbilt,what channel is the alabama game on,where to watch alabama crimson tide football vs vanderbilt football,alabama vanderbilt,alabama vs vanderbilt prediction,diego pavia,alabama football game,crimson tide","https://trends.google.com/trends/explore?q=alabama%20vs%20vanderbilt&geo=US&hl=en"
"ucla vs penn state","50K+","October 5, 2024 at 8:20:00 AM UTC-4",,"ucla vs penn state,penn state score,penn state vs ucla,ucla football,ucla bruins football vs penn state nittany lions football match player stats,penn state ucla,drew allar,tyler warren,ucla vs penn state prediction,penn state schedule,penn state game,justyn martin,psu vs ucla,pete thamel,where to watch ucla bruins football vs penn state nittany lions football,penn state vs ucla prediction,ucla penn state,penn state nittany lions football","https://trends.google.com/trends/explore?q=ucla%20vs%20penn%20state&geo=US&hl=en"
"phillies","50K+","October 5, 2024 at 4:00:00 PM UTC-4",,"phillies,phillies games,phillies game,kyle schwarber,zack wheeler,mets game today,phillies mets,phillies game today,mets phillies,where to watch mets vs phillies,schwarber,what channel is the phillies game on today,phillies tickets,adam wainwright,mets vs phillies match player stats,where to watch phillies vs mets,where to watch phillies game,pedro martinez,mets baseball","https://trends.google.com/trends/explore?q=phillies&geo=US&hl=en"
"bad blood 2024","50K+","October 4, 2024 at 4:50:00 PM UTC-4",,"bad blood 2024,wwe bad blood 2024,wwe bad blood 2024 start time,bad blood wwe,bad blood start time,bad blood,bad blood 2024 start time,what time does bad blood start,wwe bad blood start time,wwe bad blood 2024 date and time,naomi wwe","https://trends.google.com/trends/explore?q=bad%20blood%202024&geo=US&hl=en"
"smu vs louisville","100K+","October 5, 2024 at 9:00:00 AM UTC-4",,"smu vs louisville,smu football,smu,louisville football,smu vs louisville prediction,uofl football,kevin jennings,rhett lashlee,smu louisville,u of l football,louisville vs smu,smu game,louisville vs smu prediction,smu score","https://trends.google.com/trends/explore?q=smu%20vs%20louisville&geo=US&hl=en"
"bronny james","100K+","October 4, 2024 at 10:30:00 PM UTC-4",,"bronny james,timberwolves vs lakers match player stats,timberwolves vs lakers,bronny james stats,lakers vs timberwolves,lakers games,los angeles lakers,lakers vs timberwolves match player stats,lakers game,timberwolves,acrisure arena,la lakers,lakers preseason,lebron james,bronny,where to watch timberwolves vs lakers,jj redick,lakers score,where to watch lakers vs timberwolves,lakers vs,anthony davis","https://trends.google.com/trends/explore?q=bronny%20james&geo=US&hl=en"
"man city vs fulham","100K+","October 5, 2024 at 8:40:00 AM UTC-4",,"man city vs fulham,manchester city - fulham,man city,man city vs fulham f.c. lineups,manchester city vs. fulham,manchester city,fulham,fulham fc,man city vs fulham f.c. timeline,man city vs fulham f.c. stats,man city vs fulham f.c. standings,manchester city standings,mateo kovačić,fulham vs man city,where to watch man city vs fulham f.c.,kovacic","https://trends.google.com/trends/explore?q=man%20city%20vs%20fulham&geo=US&hl=en"
"purdue vs wisconsin","20K+","October 5, 2024 at 11:20:00 AM UTC-4",,"purdue vs wisconsin,badger football,wisconsin vs purdue,trech kekahuna,purdue vs wisconsin prediction,where to watch purdue boilermakers football vs wisconsin badgers football","https://trends.google.com/trends/explore?q=purdue%20vs%20wisconsin&geo=US&hl=en"
"trump rally butler","50K+","October 5, 2024 at 8:00:00 AM UTC-4",,"trump rally butler,what time is trump rally today,trump rally,trump butler rally,trump rally today,trump rally schedule,trump butler rally time,butler pa,butler pa trump rally,trump rally today live,trump rally butler time,trump rally today live time,what time is trump rally in butler pa,corey comperatore,elon musk,what time is the trump rally today,the,at","https://trends.google.com/trends/explore?q=trump%20rally%20butler&geo=US&hl=en"
"ole miss vs south carolina","20K+","October 5, 2024 at 7:50:00 AM UTC-4",,"ole miss vs south carolina,juice wells,usc vs ole miss,ole miss south carolina,ole miss vs south carolina prediction,where to watch ole miss rebels football vs south carolina gamecocks football,south carolina vs ole miss,ole miss south carolina prediction","https://trends.google.com/trends/explore?q=ole%20miss%20vs%20south%20carolina&geo=US&hl=en"
"navy football","50K+","October 5, 2024 at 11:50:00 AM UTC-4",,"navy football,navy vs air force,air force football,navy air force game,navy,blake horvath,navy vs air force prediction,air force navy game,air force academy","https://trends.google.com/trends/explore?q=navy%20football&geo=US&hl=en"
